distribution_substation_id,pole_id,name_sd,swer_num_z,phase_colour_cd,status_cd,operating_level_cd,ue_owned_yn,other_db_supply_yn,csc_code_z,type_cd,engineering_analysis_load_kw,maximum_demand_amps_lct,maximum_demand_install_capacity_kva,maximum_demand_kw,maximum_demand_thermal_rating_kva,power_factor_pf,sap_id,gis_id,location_pt,install_date_dt,construction_date_dt,cmen_area_yn,earth_type_cd,changed_on_ts,created_on_ts,effective_from_ts,effective_to_ts,is_deleted_yn,bush_fire_risk_rating_cd
1968,,BARKLY TANTI,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,482.32,500.000,296.400,500.000,0.8870,DS-000049964496,49964496,"",1996-09-19,1988-05-01,Y,CMEN,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:02+10,9999-12-31 23:59:59+11,N,LBRA
2367,,ROBERTS P7 BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,27.56,63.000,17.376,94.500,0.9100,DS-000049412969,49412969,"",1996-09-19,1983-11-01,N,Unknown,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:17+10,9999-12-31 23:59:59+11,N,LBRA
2763,,ROBERTS L8 BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,23.58,10.000,14.864,13.594,0.9100,DS-000049412945,49412945,"",1996-09-19,1987-03-01,N,Unknown,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:58+10,9999-12-31 23:59:59+11,N,LBRA
2496,,TECH SCHOOL MTN,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,0.00,500.000,254.000,333.000,0.0000,DS-000049389384,49389384,"",1996-09-19,1980-02-01,Y,separate HV and LV,2019-02-13 18:45:08+11,2018-03-11 09:50:58+11,2018-03-09 09:06:21+11,9999-12-31 23:59:59+11,N,LBRA
5427,,PADUA OAKBANK,0,RWB,in service,distribution,Y,N,11,single pole,0.000,21.90,315.000,13.810,472.500,0.9100,DS-000049413059,49413059,"",2002-02-18,1983-11-01,Y,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:24:57+10,9999-12-31 23:59:59+11,N,HBRA
179,,NEPEAN BUNGOWER,0,RWB,in service,distribution,Y,N,11,single pole,0.000,472.49,500.000,280.540,539.060,0.8570,DS-000114336922,114336922,"",1999-05-10,1998-05-01,Y,separate HV and LV,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:49+11,9999-12-31 23:59:59+11,N,LBRA
691,,RACECOURSE 2 BUNGOWER,0,RWB,in service,distribution,Y,N,11,kiosk/padmount,0.000,719.68,1000.000,498.610,1000.000,1.0000,DS-000129529354,129529354,"",2010-07-13,2009-07-01,N,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:43:09+11,9999-12-31 23:59:59+11,N,LBRA
5735,,ROBERTS L4 BUNGOWER,0,BR,in service,distribution,Y,N,11,single pole,0.000,33.71,10.000,21.252,15.000,0.9100,DS-000049412957,49412957,"",1996-09-19,1981-07-01,N,separate HV and LV,2019-08-04 13:21:06+10,2019-08-04 13:21:06+10,2019-08-02 20:23:37+10,9999-12-31 23:59:59+11,N,LBRA
710,,GRANT SHOTTON,0,RWB,in service,distribution,Y,N,11,single pole,0.000,82.76,100.000,52.174,132.810,0.9100,DS-000109468223,109468223,"",1998-11-05,1997-11-01,N,,2019-10-31 15:20:42+11,2019-10-31 15:20:42+11,2019-10-30 17:42:46+11,9999-12-31 23:59:59+11,N,HBRA
2609,,PADUA RAILWAY,0,RWB,in service,distribution,Y,N,11,single pole,0.000,12.67,315.000,7.988,75.000,0.9100,DS-000088994617,88994617,"",2002-02-18,1994-05-01,Y,Unknown,2022-08-30 07:32:27+10,2022-08-30 07:32:27+10,2022-08-29 20:16:01+10,9999-12-31 23:59:59+11,N,HBRA
